BGS ID,BGS Reference
"0,Not Found | Borehole Logs"
"1,Borehole SD20NE1 Unavailable | Borehole Logs"
"2,SD20NE2"
"3,SD20NE3"
"4,SD20NE4"
"5,SD20NE5"
"6,SD20NE6/A"
"7,SD20NE6"
"8,SD20NE7"
"9,SD20NE8"
"10,SD20NE9"
"11,Not Found | Borehole Logs"
"12,Not Found | Borehole Logs"
"13,Not Found | Borehole Logs"
"14,Not Found | Borehole Logs"
"15,Not Found | Borehole Logs"
"16,Not Found | Borehole Logs"
"17,Not Found | Borehole Logs"
"18,Not Found | Borehole Logs"
"19,Not Found | Borehole Logs"
"20,Not Found | Borehole Logs"
"21,Not Found | Borehole Logs"
"22,Not Found | Borehole Logs"
"23,Not Found | Borehole Logs"
"24,Not Found | Borehole Logs"
"25,Not Found | Borehole Logs"
"26,Not Found | Borehole Logs"
"27,SD20NE26"
"28,SD20NE27"
"29,SD20NE28"
"30,SD20NE29"
"31,SD20NE30"
"32,SD20NE31"
"33,SD20NE32"
"34,SD20NE33"
"35,SD20NE34"
"36,SD20NE35"
"37,SD20NE36"
"38,SD20NE37"
"39,SD20NE38"
"40,SD20NE39"
"41,SD20NE40"
"42,SD20NE41"
"43,SD20NE42"
"44,Not Found | Borehole Logs"
"45,SD20NE44"
"46,SD20NE45"
"47,SD20NE46"
"48,SD20NE47"
"49,SD20NE48"
"50,SD20NE49"
"51,SD20NE50"
"52,SD20NE51"
"53,SD20SE1"
"54,Not Found | Borehole Logs"
"55,SD20SE3/A"
"56,SD20SE3/B"
"57,SD20SE3/C"
"58,SD20SE4"
"59,SD20SE5"
"60,SD20SE6"
"61,SD20SE7"
"62,Not Found | Borehole Logs"
"63,Not Found | Borehole Logs"
"64,Not Found | Borehole Logs"
"65,Not Found | Borehole Logs"
"66,Not Found | Borehole Logs"
"67,Image Unavailable | Borehole SD21SE1 | Borehole Logs"
"68,SD30NE1"
"69,SD30NE2"
"70,SD30NE3"
"71,Not Found | Borehole Logs"
"72,Not Found | Borehole Logs"
"73,Not Found | Borehole Logs"
"74,SD30NE5/A"
"75,SD30NE5/B"
"76,SD30NE6"
"77,SD30NE7"
"78,Not Found | Borehole Logs"
"79,Not Found | Borehole Logs"
"80,Not Found | Borehole Logs"
"81,Not Found | Borehole Logs"
"82,Not Found | Borehole Logs"
"83,Not Found | Borehole Logs"
"84,Not Found | Borehole Logs"
"85,Not Found | Borehole Logs"
"86,Not Found | Borehole Logs"
"87,Not Found | Borehole Logs"
"88,Not Found | Borehole Logs"
"89,Not Found | Borehole Logs"
"90,SD30NE20"
"91,SD30NE21"
"92,Not Found | Borehole Logs"
"93,Not Found | Borehole Logs"
"94,Not Found | Borehole Logs"
"95,SD30NE25"
"96,Borehole SD30NE26 Unavailable | Borehole Logs"
"97,SD30NE27"
"98,SD30NE28"
"99,SD30NE29"
